"","mouse","rates","variance","counts"
"Nxph1",1,0.242300902494614,0.573416634435394,66019
"Syt10",1,0.43821820624149,1.95952796376589,119400
"Ubl7",1,0.702584166155901,0.880273540510672,191431
"Fndc7",1,0.0496684002099337,0.0530665754261112,13533
"Blank.81",1,0.0272143048515967,0.0284189804582418,7415
"Ccdc162",1,0.0995827017583781,0.191058783675468,27133
"Adam2",1,0.056729805811346,0.0608961389368485,15457
"Igfals",1,0.0371237617766555,0.0387846305582904,10115
"Blank.66",1,0.0888731479408515,0.102122601435422,24215
"Cnih2",1,3.24516730466442,15.6048124318165,884201
"Sulf1",1,0.0183361654805903,0.0187560742157566,4996
"Rerg",1,0.131990296072552,0.150669195357411,35963
"Frs2",1,0.982992435781214,1.26582834903176,267833
"Pdlim5",1,0.032554401083434,0.0339243885929356,8870
"Kcnn2",1,0.305758128507305,0.455941644359317,83309
"Col25a1",1,0.0322791383910712,0.0340780316731473,8795
"Scn9a",1,0.0613909207353551,0.0693301698883654,16727
"Fmr1",1,0.117471106592725,0.122492723097319,32007
"Unc80",1,0.0620882528893407,0.0679301381669805,16917
"Chodl",1,0.11455332205368,0.131974491174031,31212
"Chl1",1,0.181673376959412,0.230227506700881,49500
"Slc12a2",1,0.798089309898079,4.50128120681599,217453
"Unc93b1",1,0.276620654978401,1.01093384581488,75370
"Blank.75",1,0.0385991698077198,0.0410585266828585,10517
"Cacng4",1,2.54600373623228,16.3585479148642,693702
"Chat",1,0.158800882308683,2.10839151829848,43268
"Pdgfc",1,0.21172472262696,0.270720105264856,57688
"Slc32a1",1,1.90005028131847,16.0137083867224,517701
"Kcnh7",1,0.175268931650438,0.22296004701198,47755
"Prss23",1,0.164386879879031,0.323376537441201,44790
"Igfbp5",1,1.57594130665365,15.2180507309244,429392
"Pacsin1",1,5.06441147001288,29.6409738415304,1379885
"Cacng2",1,1.19594666510073,3.49954711229271,325856
"Sema5a",1,0.127865025856342,0.148680240338611,34839
"Blank.26",1,0.0379789112075958,0.0403976798090076,10348
"Slc25a13",1,0.0999900905430749,0.11808398102211,27244
"Cdkl3",1,0.0771249362308096,0.0828848244918037,21014
"Npy2r",1,0.0495693056406831,0.0754461729461317,13506
"Kcng2",1,0.187736496529855,0.309619925897276,51152
"Cdh20",1,0.777771253032477,2.21017686378695,211917
"Kcnn4",1,0.0467285946554996,0.0574568993303028,12732
"Dlg3",1,0.878032936098683,1.47172414368116,239235
"Grik1",1,0.320750769817996,1.42138948427092,87394
"Gnb5",1,0.0971787409117434,0.110079427517836,26478
"Col23a1",1,0.476230148972169,3.64541926168715,129757
"Kcnj8",1,0.166148561110153,0.902316085820714,45270
"Dlgap3",1,13.1366036987966,220.653724172345,3579291
"Chrna10",1,0.0878234795406416,0.194216790198926,23929
"Tanc2",1,2.23682501000121,6.85275738102579,609461
"Lsp1",1,0.17458995034261,0.278855916196228,47570
"Blank.86",1,0.028616309498031,0.0298161188364741,7797
"Caprin1",1,0.0301284192214103,0.0308870677683587,8209
"Car3",1,0.0643454069667152,0.0845899904028862,17532
"Dlg1",1,0.402360652849703,0.494737698014984,109630
"Kcnk1",1,0.268608675546029,0.361249979310489,73187
"Btbd3",1,1.58850429593309,5.09214549028639,432815
"Gpr37l1",1,5.43542153728708,95.1823363637234,1480973
"Blank.77",1,0.0748310804611201,0.0835526968516769,20389
"Blank.14",1,0.0364998330073,0.0378469576415427,9945
"Suv39h2",1,0.0833275222320501,0.0923349406352809,22704
"Blank.34",1,0.0416013682390895,0.0436951711074976,11335
"Ythdf1",1,1.88346845673054,3.28505944584006,513183
"Kcnk13",1,0.115867242638558,0.185564698531893,31570
"Trim35",1,1.61850425923139,2.93416582335377,440989
"Robo1",1,1.15184591161498,3.50201742271983,313840
"Cacna1g",1,0.232200596769517,0.333863178687278,63267
"Defb1",1,0.0842927767399355,0.0964856084666466,22967
